Date,NVDA.US_Close,TSLA.US_Close,AAPL.US_Close,GOOG.US_Close,NVDA.US_High,TSLA.US_High,AAPL.US_High,GOOG.US_High,NVDA.US_Low,TSLA.US_Low,AAPL.US_Low,GOOG.US_Low,NVDA.US_Open,TSLA.US_Open,AAPL.US_Open,GOOG.US_Open,NVDA.US_Volume,TSLA.US_Volume,AAPL.US_Volume,GOOG.US_Volume
2021-10-14,217.117,272.773,142.724,141.412,217.207,273.417,142.844,141.652,210.884,271.117,140.482,139.339,212.543,271.83,141.08,139.952,24396608.451857,36741510.0,70415444.036708,21437560.0
2021-10-13,209.057,270.36,139.883,137.9,209.567,271.803,140.372,138.55,206.801,268.593,138.199,136.977,208.849,270.157,140.212,137.75,18093168.652883,42360225.0,79335460.257702,16393280.0
2021-10-12,206.381,268.573,140.482,136.713,210.236,270.773,142.216,139.695,204.963,265.523,140.013,136.25,207.949,266.977,142.196,139.638,16238465.771475,66060120.0,73566953.583509,22535020.0
2021-10-11,206.621,263.98,141.778,138.848,210.295,267.08,143.772,140.764,204.793,261.833,140.78,138.806,205.422,262.55,141.239,139.8,16364060.272667,42600966.0,64920896.455277,16584760.0
2021-10-08,207.979,261.83,141.868,140.056,211.724,265.46,143.144,140.317,207.42,260.303,141.528,139.429,210.674,265.403,142.994,139.906,15149218.806452,50215812.0,59200535.188308,18928420.0
2021-10-07,210.415,264.537,142.256,139.186,212.883,268.333,143.173,140.154,209.387,261.127,141.688,138.563,210.584,261.82,142.026,138.863,25731685.699187,57587346.0,62181557.293279,18250460.0
2021-10-06,206.671,260.917,140.97,137.354,206.87,262.22,141.12,137.852,200.498,257.74,137.371,134.486,200.897,258.733,138.467,134.626,29766207.171826,43898304.0,83826277.557047,19764320.0
2021-10-05,204.193,260.197,140.083,136.177,206.151,265.77,141.21,137.362,198.241,258.067,138.357,134.0,199.2,261.599,138.487,134.0,27971421.429225,55297875.0,81449059.583323,24126740.0
2021-10-04,197.024,260.51,138.139,133.765,205.103,268.99,141.18,135.7,195.256,258.707,137.271,131.166,204.723,265.5,140.731,135.7,34617031.324996,91450023.0,99036976.35706,31529900.0
2021-10-01,207.09,258.407,141.618,136.462,208.259,260.26,141.888,137.071,201.726,254.53,138.109,133.378,207.17,259.467,140.87,133.555,24135119.532911,51094242.0,95327771.894302,28387300.0
2021-09-30,206.83,258.493,140.472,133.266,210.325,263.044,143.343,135.59,206.551,258.333,140.252,133.0,207.36,260.333,142.625,134.325,22135143.472357,53867883.0,89704257.1316,35363980.0
2021-09-29,204.853,260.437,141.798,134.521,209.837,264.5,143.412,137.398,204.353,256.893,141.0,134.25,209.067,259.933,141.438,137.11,21873188.969548,62828631.0,75144527.889999,26337220.0
2021-09-28,206.661,259.187,140.88,136.184,213.851,265.213,143.712,139.606,206.181,255.393,140.661,135.7,211.804,262.4,142.216,139.088,34360031.034994,76144266.0,109764753.86902,42189660.0
2021-09-27,216.259,263.787,144.33,141.501,217.646,266.333,144.908,142.5,212.913,256.437,142.784,140.5,216.769,257.707,144.429,141.586,24559493.717357,84211971.0,74689931.490292,18844080.0
2021-09-24,220.464,258.13,145.865,142.633,221.142,258.267,146.403,142.904,218.266,248.187,144.519,140.85,220.354,248.63,144.609,140.946,21799256.254575,64119066.0,53866744.45858,14949340.0
2021-09-23,224.468,251.213,145.775,141.826,224.996,252.733,146.015,142.252,218.556,249.307,144.589,141.096,221.052,251.667,145.595,141.61,24893988.188573,35842581.0,65309654.645034,17276100.0
2021-09-22,219.066,250.647,144.799,140.938,219.256,251.223,145.377,141.584,211.624,246.373,142.665,139.472,213.322,247.842,143.412,140.05,26914177.597581,45378816.0,76959931.420537,22067800.0
